a.d	a.d.
attonement	atonement
attornies	attorneys
attrocious	atrocious
aucthoritie	authority
auctoritie	authority
aukward	awkward
aukwardly	awkwardly
aukwardness	awkwardness
auld	old
auncient	ancient
aunswer	answer
aunswere	answer
aunswered	answered
auntient	ancient
authentick	authentic
authour	author
awaie	away
aweful	awful
awefully	awfully
ax	axe
ayre	air
ayres	airs
aërial	aerial
b.c	b.c.
babie	baby
babling	babbling
backpedaled	backpedalled
backpedaling	backpedalling
bagdad	baghdad
bagdat	baghdad
baie	bay
baliol	balliol
balk	baulk
balked	baulked
balking	baulking
balks	baulks
ballance	balance
ballanced	balanced
ballances	balances
ballancing	balancing
baltick	baltic
banister	bannister
banisters	bannisters
banquetting	banqueting
barbadoes	barbados
baronie	barony
barque	bark
barr	bar
barre	bar
bason	basin
basse	base
bast	baste
batchelor	bachelor
batchelors	bachelors
battel	battle
batteled	battled
battels	battles
batterie	battery
battleax	battleaxe
bawble	bauble
bayes	bays
bayle	bail
bc	b.c.
beare	bear
beate	beat
beatifick	beatific
beautifie	beautify
becase	because
bedeviled	bedevilled
bedeviling	bedevilling
beene	been
befal	befall
befals	befalls
befel	befell
befor	before
begining	beginning
behavior	behaviour
behavioral	behavioural
behaviorism	behaviourism
behaviorist	behaviourist
behaviorists	behaviourists
behaviors	behaviours
behoove	behove
behooved	behoved
behooves	behoves
bejeweled	bejewelled
belabor	belabour
belabored	belaboured
belaboring	belabouring
belabors	belabours
beldam	beldame
belive	believe
bely	belie
belye	belie
bended	bent
beneficiarie	beneficiary
benefitted	benefited
bequeathe	bequeath
bequeathes	bequeaths
bere	bear
bespake	bespoke
bett	bet
betts	bets
betweene	between
betwen	between
beveled	bevelled
bever	beaver
bevies	bevvies
bevy	bevvy
biased	biassed
biasing	biassing
bibliographie	bibliography
bifhoprick	bishopric
biflioprick	bishopric
bigotted	bigoted
binging	bingeing
biographie	biography
bishoprick	bishopric
bishopricks	bishoprics
bisket	biscuit
blacke	black
blesse	bless
blest	blessed
blith	blithe
bloodie	bloody
blustring	blustering
blyth	blithe
blythe	blithe
boadicia	boadicea
bodie	body
boistrous	boisterous
boke	book
booke	book
bord	board
borne	born
bosome	bosom
bougainvillea	bougainvillaea
bougainvilleas	bougainvillaeas
bourdeaux	bordeaux
bourne	bourn
bove	above
bowes	bows
bowles	bowls
bragg	brag
bras	brass
breathalyze	breathalyse
breathalyzed	breathalysed
breathalyzer	breathalyser
breathalyzers	breathalysers
breathalyzes	breathalyses
breathalyzing	breathalysing
brest	breast
briars	briers
britains	britain
britannick	britannic
britany	brittany
brooke	brook
brookes	brooks
broome	broom
brough	borough
browne	brown
buffoonry	buffoonery
bur	burr
burgoyne	bourgogne
burne	burn
burthen	burden
burthened	burdened
burthening	burdened
burthens	burdens
burthensome	burdensome
buryed	buried
busie	busy
busses	buses
bussing	busing
byass	bias
cabbin	cabin
caelestial	celestial
caled	called
caliber	calibre
calibers	calibres
calisthenics	callisthenics
calle	call
callicoes	calicoes
calliper	caliper
callipers	cawliiclipzlipers
cameleon	chameleon
camelion	chameleon
campbel	campbell
cancelation	cancellation
cancelations	cancellations
canceled	cancelled
canceling	cancelling
candor	candour
canvass	canvas
capacitie	capacity
captivitie	captivity
carefull	careful
carefullie	carefully
carelesly	carelessly
carelesness	carelessness
caroled	carolled
caroling	carolling
carrick	carrack
carrol	carol
carrols	carols
carryed	carried
carte	cart
cartes	carts
cary	carry
castel	castle
castell	castle
castile	castille
catalog	catalogue
cataloged	catalogued
cataloging	cataloguing
catalogs	catalogues
catalyze	catalyse
catalyzed	catalysed
catalyzes	catalyses
catalyzing	catalysing
catholick	catholic
catholicks	catholics
catholie	catholic
cattel	cattle
caviled	cavilled
caviling	cavilling
ceconomy	economy
celle	cell
center	centre
centered	centred
centerfold	centrefold
centerfolds	centrefolds
centerpiece	centrepiece
centerpieces	centrepieces
centers	centres
centigram	centigramme
centigrams	centigrammes
centiliter	centilitre
centiliters	centilitres
centimeter	centimetre
centimeters	centimetres
centinel	sentinel
centinels	sentinels
ceremonie	ceremony
certaine	certain
certaintie	certainty
certifie	certify
cesarean	caesarean
cesareans	caesareans
chace	chase
chaced	chased
chaces	chases
chacing	chasing
chambre	chamber
champaigne	champagne
chancellerie	chancellery
chancellory	chancellery
chancellour	chancellor
chanel	channel
channeled	channelled
channeling	channelling
chapelle	chapel
chappel	chapel
chappels	chapels
characteriftick	characteristic
characteristick	characteristic
characteristicks	characteristics
charitie	charity
chastly	chastely
chaunt	chant
chaunted	chanted
chaunting	chanting
chaunts	chants
chear	cheer
cheared	cheered
chearful	cheerful
chearfully	cheerfully
chearfulness	cheerfulness
chearing	cheering
chearless	cheerless
chears	cheers
checkbook	chequebook
checkbooks	chequebooks
checkered	chequered
chere	cheer
chesnut	chestnut
chesnuts	chestnuts
chiefe	chief
chieflie	chiefly
chili	chilli
chilness	chillness
chimera	chimaera
chimeras	chimaeras
chimnies	chimneys
chiseled	chiselled
chiseling	chiselling
chissels	chisels
choak	choke
choaked	choked
choaking	choking
choaks	chokes
cholerick	choleric
cholick	colic
chorusses	choruses
chouse	choose
choused	choosed
christe	christ
chronologie	chronology
chrystal	crystal
churche	church
chuse	choose
chuses	chooses
chusing	choosing
chymic	chemic
chymical	chemical
chymist	chemist
chymistry	chemistry
chymists	chemists
cieling	ceiling
cielings	ceilings
cipher	cypher
ciphers	cyphers
citie	city
cittie	city
civily	civilly
claffick	classic
clamor	clamour
clamored	clamoured
clamoring	clamouring
clamors	clamours
clangor	clangour
clapt	clapped
clarinetist	clarinettist
clarinetists	clarinettists
classe	class
classick	classic
classicks	classics
clemencie	clemency
clerc	clerk
clergie	clergy
clerke	clerk
clipt	clipped
cloath	cloth
cloathed	clothed
cloathes	clothes
cloathing	clothing
cloaths	clothes
cloke	cloak
closetted	closeted
cloths	clothes
cloyster	cloister
cloysters	cloisters
cobler	cobbler
cobler's	cobbler's
coblers	cobblers
cocoanut	coconut
coelestial	celestial
colledge	college
colledges	colleges
collegue	colleague
collegues	colleagues
collonel	colonel
color	colour
colorant	colourant
colorants	colourants
colored	coloured
coloreds	coloureds
colorful	colourful
colorfully	colourfully
coloring	colouring
colorless	colourless
colors	colours
combate	combat
combe	comb
comber	cumber
comedie	comedy
comeing	coming
comick	comic
commited	committed
communitie	community
compagnie	company
companie	company
compleat	complete
compleated	completed
compleating	completing
compleatly	completely
compleats	completes
complection	complexion
complement	compliment
complements	compliments
complyed	complied
concil	council
condescention	condescension
confederacie	confederacy
confered	conferred
confest	confessed
confidante	confidant
confiderabie	considerable
confiderable	considerable
conformitie	conformity
confpiracie	conspiracy
consederacy	confederacy
consess	confess
considence	confidence
consined	consigned
conspiracie	conspiracy
consule	consul
consusion	confusion
continuallie	continually
contrarie	contrary
contrie	country
controll	control
controul	control
controuled	controlled
controuling	controlling
controuls	controls
controverfie	controversy
controversie	controversy
conveniencies	conveniences
copie	copy
coquets	coquettes
corde	cord
corke	cork
corne	corn
cornwal	cornwall
correfpondencie	correspondence
correspondencie	correspondency
corse	corpse
cote	coat
cotemporaries	contemporaries
cotes	coats
coud	could
councellor	counsellor
councellors	counsellors
councilor	councillor
councilors	councillors
counseled	counselled
counseling	counselling
counselor	counsellor
counselors	counsellors
countie	county
countrey	country
countreys	countries
countrys	countries
couragious	courageous
courte	court
courtesie	courtesy
courtezan	courtesan
cozier	cosier
cozies	cosies
coziest	cosiest
cozily	cosily
coziness	cosiness
cozy	cosy
craftie	crafty
craggs	crags
creat	create
crenelated	crenellated
crewe	crew
crie	cry
critick	critic
critick's	critic's
criticks	critics
cromwel	cromwell
cropt	cropped
crosse	cross
crost	crossed
croud	crowd
croud	crowd
crouded	crowded
crouding	crowding
crouds	crowds
crowne	crown
crueler	crueller
cruelest	cruellest
cryed	cried
cryer	crier
crys	cries
cuckow	cuckoo
cudgeled	cudgelled
cudgeling	cudgelling
currente	current
curst	cursed
curtesies	courtesies
curtesy	courtesy
curtsey	curtsy
custodie	custody
custome	custom
cutts	cuts
cynick	cynic
d.d	d.d.
daemon	demon
daemonic	demonic
daemons	demons
daie	day
daies	days
dailie	daily
daines	deigns
damme	damn
dandie	dandy
darkned	darkened
darknesse	darkness
daunce	dance
dawes	daws
daye	day
dayes	days
dayly	daily
dazle	dazzle
dazled	dazzled
dazling	dazzling
deane	dean
deanry	deanery
deare	dear
decipher	decypher
deciphered	decyphered
deciphering	decyphering
deciphers	decyphers
deckt	decked
decrepid	decrepit
ded	dead
defense	defence
defenseless	defenceless
defenses	defences
defie	defy
deformitie	deformity
defpotick	despotic
dele	deal
demande	demand
demeanor	demeanour
denie	deny
dente	dent
denyed	denied
deposite	deposit
deprest	depressed
deputie	deputy
dere	dear
desart	desert
desarts	deserts
desend	descend
desended	descended
desireable	desirable
despatch	dispatch
despatch	dispatch
despatched	dispatched
despatches	dispatches
despatching	dispatching
despight	despite
despotick	despotic
det	debt
develope	develop
developement	development
dialed	dialled
dialing	dialling
dialog	dialogue
dialogs	dialogues
diarrhea	diarrhoea
difcourie	discovery
difficultie	difficulty
digges	digs
digna	dignam
dignitie	dignity
diligentlie	diligently
diocess	diocese
dipt	dipped
directlie	directly
disburthened	disburdened
discernable	discernible
discolor	discolour
discolored	discoloured
discoloring	discolouring
discolors	discolours
discoverie	discovery
disemboweled	disembowelled
disemboweling	disembowelling
disfavor	disfavour
disheveled	dishevelled
dishonor	dishonour
dishonorable	dishonourable
dishonorably	dishonourably
dishonored	dishonoured
dishonoring	dishonouring
dishonors	dishonours
disk	disc
disks	discs
dismist	dismissed
dispair	despair
dispell	dispel
dispence	dispense
disperst	dispersed
dispossest	dispossessed
dissention	dissension
dissentions	dissensions
disswade	dissuade
distil	distill
distils	distills
distrest	distressed
divers	diverse
diversitie	diversity
divinitie	divinity
doat	dote
doated	doted
doating	doting
doats	dotes
doest	dost
doggrel	doggerel
dolor	dolour
domeflick	domestic
domeftick	domestic
domestick	domestic
domesticks	domestics
doo	do
dore	door
dorick	doric
doute	doubt
downe	down
downes	downs
downfal	downfall
draft	draught
draftboard	draughtboard
draftboards	draughtboards
draftier	draughtier
draftiest	draughtiest
draftsman	draughtsman
draftsmanship	draughtsmanship
draftsmen	draughtsmen
draftswoman	draughtswoman
draftswomen	draughtswomen
drafty	draughty
dramatick	dramatic
dreamt	dreamed
drest	dressed
driveled	drivelled
driveling	drivelling
dropt	dropped
drowzy	drowsy
dryed	dried
dryly	drily
dueled	duelled
dueling	duelling
duely	duly
duett	duet
dulness	dullness
dunghil	dunghill
dutchess	duchess
dutchesses	duchesses
dutchy	duchy
dwelt	dwelled
dyet	diet
dykes	dikes
e.g	e.g.
eafie	easy
eare	ear
earle	earl
earnestlie	earnestly
easie	easy
easilie	easily
eccho	echo
ecchoed	echoed
ecchoes	echos
ecchoing	echoing
ecchos	echoes
ecclesiastick	ecclesiastic
ecclesiasticks	ecclesiastics
ecclestiastick	ecclesiastic
economie	economy
ecstacy	ecstasy
edema	edoema
effectualie	effectually
effigie	effigy
elastick	elastic
elles	else
ellis	else
ells	else
els	else
embarassed	embarrassed
embarassment	embarrassment
embarras	embarrass
embarrasment	embarrassment
embassador	ambassador
embassadors	ambassadors
embattel	embattle
embatteled	embattled
embrue	imbrue
embrued	imbrued
embue	imbue
embued	imbued
embuing	imbuing
emperour	emperor
emploie	employ
emptie	empty
enameled	enamelled
enameling	enamelling
enamored	enamoured
encline	incline
enclined	inclined
enclines	inclines
enclining	inclining
encountred	encountered
encountring	encountering
encrease	increase
encreased	increased
encreases	increases
encreasing	increasing
encyclopedia	encyclopaedia
encyclopedias	encyclopaedias
encyclopedic	encyclopaedic
ende	end
endeavor	endeavour
endeavored	endeavoured
endeavoring	endeavouring
endeavors	endeavours
endite	indite
endited	indited
enditing	inditing
eneas	aeneas
enemie	enemy
energetick	energetic
energie	energy
enflame	inflame
enflamed	inflamed
engulph	engulf
engulphed	engulfed
enimies	enemies
enjoyn	enjoin
enjoyned	enjoined
enjoyning	enjoining
enjoyns	enjoins
enlightned	enlightened
ennemys	enemies
enoble	ennoble
enobled	ennobled
enow	enough
enquire	inquire
enquired	inquired
enquiries	inquiries
enquiring	inquiring
enquiry	inquiry
enroll	enrol
enrolls	enrols
ensured	insured
enterprize	enterprise
enthrall	enthral
enthralls	enthrals
enthusiastick	enthusiastic
entituled	entitled
entreats	intreats
entred	entered
entrie	entry
entring	entering
enure	inure
envie	envy
envyed	envied
enwrapt	enwrapped
eolian	aeolian
eolus	aeolus
eon	aeon
eons	aeons
epaulet	epaulette
epaulets	epaulettes
epicenter	epicentre
epicenters	epicentres
epick	epic
epilog	epilogue
epilogs	epilogues
equipt	equipped
erazed	erased
erle	earl
ermin	ermine
errour	error
errours	errors
ese	ease
esophagus	oesophagus
esophaguses	oesophaguses
especiallie	especially
esthete	aesthete
esthetes	aesthetes
esthetic	aesthetic
esthetically	aesthetically
esthetics	aesthetics
estrogen	oestrogen
eternize	eternise
ether	aether
etherial	aethereal
ethicks	ethics
etiology	aetiology
europ	europe
everie	every
examin	examine
excell	excel
excellencie	excellency
excells	excels
excentric	eccentric
exotick	exotic
expell	expel
expence	expense
expences	expenses
explicite	explicit
expresly	expressly
expresse	express
exprest	expressed
extacies	ecstasies
extacy	ecstasy
extasie	ecstasy
extasies	ecstasies
extasy	ecstasy
extatic	ecstatic
extraordinarie	extraordinary
extream	extreme
extreamest	extremest
extreamly	extremely
extreams	extremes
extremitie	extremity
extrinsick	extrinsic
eyeing	eying
f.r.s	f.r.s.
f.s.a	f.s.a.
fabrick	fabric
fabricks	fabrics
facilitie	facility
factorie	factory
faeries	fairies
faery	fairy
faire	fair
faithfull	faithful
faithfullie	faithfully
falselie	falsely
falshood	falsehood
falshood's	falsehood's
falshoods	falsehoods
falsifie	falsify
falsly	falsely
familie	family
famyly	family
fanatick	fanatic
fanaticks	fanatics
fancie	fancy
fancys	fancies
fansied	fancied
fansy	fancy
fantasie	fantasy
fantastick	fantastic
farewel	farewell
farr	far
farre	far
fastned	fastened
fatiffie	satisfy
fatisfie	satisfy
faulter	falter
faultered	faltered
faultering	faltering
faulters	falters
faultie	faulty
favor	favour
favorable	favourable
favorably	favourably
favored	favoured
favoring	favouring
favorite	favourite
favorites	favourites
favoritism	favouritism
favors	favours
favourablie	favourably
fcholaftick	scholastic
fcientifick	scientific
feare	fear
feaver	fever
fecal	faecal
feces	faeces
felonie	felony
fervor	fervour
fetal	foetal
fetid	foetid
fetus	foetus
fetuses	foetuses
fewel	fuel
fiber	fibre
fiberglass	fibreglass
fibers	fibres
fidelitie	fidelity
fidler	fiddler
fidlers	fiddlers
filet	fillet
fileted	filleted
fileting	filleting
filets	fillets
filthie	filthy
fimplicitie	simplicity
finde	find
fishes	fish
fitt	fit
fixt	fixed
flaggon	flagon
flatterie	flattery
flavor	flavour
flavored	flavoured
flavoring	flavouring
flavorings	flavourings
flavorless	flavourless
flavors	flavours
flavorsome	flavoursome
flie	fly
flimzy	flimsy
flowrie	flowery
flowry	flowery
flutist	flautist
flutists	flautists
flye	fly
flys	flies
foggie	foggy
folkes	folks
foote	foot
forbad	forbade
forborne	forborn
forensick	forensic
foretel	foretell
foretels	foretells
foreward	forward
forme	form
formerlie	formerly
forreign	foreign
forrest	forest
forrester	forester
fortifie	fortify
fossile	fossil
foule	foul
foulis	fowls
fourty	forty
foy	foi
fpanifh	spanish
fpeciallie	specially
fpecifick	specific
fpeedie	speedy
frailtie	frailty
francfort	frankfurt
francklin	franklin
frankfort	frankfurt
frantick	frantic
fraternitie	fraternity
fraude	fraud
fraunce	france
friendlie	friendly
frier	friar
friers	friars
frightned	frighted
frolick	frolic
frolicksome	frolicsome
frome	from
fronde	frond
fronte	front
fructifie	fructify
fryar	friar
fryars	friars
fryers	friars
ftorie	story
ful	full
fulfill	fulfil
fulfillment	fulfilment
fulfills	fulfils
fulness	fullness
funneled	funnelled
funneling	funnelling
fupplie	supply
furrs	furs
furth	forth
fye	fie
gage	gauge
gaged	gauged
gages	gauges
gaging	gauging
galantry	gallantry
gallick	gallic
gallies	galleys
gally	galley
gamboled	gambolled
gamboling	gambolling
gard	guard
garde	guard
gardiner	gardener
gardner	gardener
garison	garrison
garlick	garlic
gasses	gases
gat	got
gayety	gaiety
gayly	gaily
generall	general
geniusses	geniuses
geoffry	geoffrey
geographie	geography
georgicks	georgics
gett	get
gigantick	gigantic
gingle	jingle
gipsey	gypsy
gipsy	gypsy
glamor	glamour
glas	glass
glasse	glass
glocester	gloucester
glorifie	glorify
gloster	gloucester
gluing	glueing
godlie	godly
goe	go
goiter	goitre
goiters	goitres
golde	gold
gon	gone
gonorrhea	gonorrhoea
goode	good
gothick	gothic
gott	got
goverment	government
governante	governant
governour	governor
governours	governors
graecian	grecian
gram	gramme
grams	grammes
grashopper	grasshopper
grashoppers	grasshoppers
gratifie	gratify
graunt	grant
graveled	gravelled
gravitie	gravity
gray	grey
grayed	greyed
graying	greying
grayish	greyish
grayness	greyness
grays	greys
greate	great
greatlie	greatly
gret	great
grete	great
griesly	grisly
griffin	gryphon
griffins	gryphons
groins	groynes
grosly	grossly
grosse	gross
grottos	grottoes
grounde	ground
groupe	group
groupes	groups
groveled	grovelled
groveling	grovelling
groyne	groin
grueling	gruelling
gruelingly	gruellingly
gude	good
guelderland	gelderland
guiltie	guilty
gulielmi	guglielmi
gulph	gulf
gulphs	gulfs
gynecological	gynaecological
gynecologist	gynaecologist
gynecologists	gynaecologists
gynecology	gynaecology
gypsey	gypsy
gypsies	gipsies
h.m.s	h.m.s.
halfe	half
halle	hall
haly	holy
hamburgh	hamburg
hande	hand
handes	hands
handie	handy
handsom	handsome
handsomly	handsomely
hapned	happened
harbor	harbour
harbored	harboured
harboring	harbouring
harbors	harbours
hardned	hardened
harkye	harkee
harmonie	harmony
harrangue	harangue
harrangued	harangued
harrassed	harassed
hastie	hasty
haue	have
haveing	having
havock	havoc
hawke	hawk
hawling	hauling
hazle	hazel
headach	headache
heare	hear
heark	hark
hearkee	harkee
heartie	hearty
heavenlie	heavenly
heavie	heavy
hed	head
heighth	height
heightned	heightened
helpe	help
helpt	helped
hematological	haematological
hematologist	haematologist
hematologists	haematologists
hematology	haematology
hemoglobin	haemoglobin
hemophilia	haemophilia
hemophiliac	haemophiliac
hemophiliacs	haemophiliacs
hemorrhage	haemorrhage
hemorrhaged	haemorrhaged
hemorrhages	haemorrhages
hemorrhaging	haemorrhaging
hemorrhoids	haemorrhoids
her's	hers
heresie	heresy
heretick	heretic
hereticks	heretics
heroe	hero
heroe's	hero's
heroick	heroic
heroicks	heroics
herse	hearse
herselfe	herself
hieroglyphicks	hieroglyphics
hiftorie	history
himsel	himself
himselfe	himself
hinderance	hindrance
hinderances	hindrances
hindoos	hindus
hindred	hindered
hindring	hindering
historie	history
hobbie	hobby
hoftilitie	hostility
holde	hold
holden	held
hollinshed	holinshed
holyday	holiday
homeopath	homoeopath
homeopathic	homoeopathic
homeopaths	homoeopaths
homeopathy	homoeopathy
homewards	homeward
honestie	honesty
hongrie	hungry
honied	honeyed
honor	honour
honorable	honourable
honorably	honourably
honored	honoured
honoring	honouring
honors	honours
hooke	hook
horne	horn
horrida	horridam
horrour	horror
horrours	horrors
hoste	host
hostes	hosts
hould	hold
hous	house
houshold	household
hugonots	huguenots
humanitie	humanity
humilitie	humility
humor	humour
humored	humoured
humoring	humouring
humorless	humourless
humors	humours
humourous	humorous
hundreth	hundredth
husht	hushed
hussey	hussy
hye	hie
hym	him
hypocrifie	hypocrisy
hypocrisie	hypocrisy
hys	his
i.e	i.e.
ideot	idiot
ideots	idiots
idolatrie	idolatry
ile	isle
iles	isles
imagin	imagine
imbark	embark
imbarked	embarked
imbarking	embarking
imbarks	embarks
imbecillity	imbecility
imbitter	embitter
imbittered	embittered
imbrown	embrown
imbrowned	embrowned
imder	under
immediatlie	immediately
immediatly	immediately
impaneled	impanelled
impaneling	impanelling
impassible	impassable
impells	impels
imperiled	imperilled
imperiling	imperilling
impietie	impiety
implicitely	implicitly
imploy	employ
imployed	employed
imploying	employing
imployment	employment
imployments	employments
imploys	employs
impolitick	impolitic
impower	empower
impowered	empowered
imprest	impressed
impurpled	empurpled
inchanted	enchanted
inchanting	enchanting
inchantment	enchantment
inchantments	enchantments
incircled	encircled
incircling	encircling
inclose	enclose
inclosed	enclosed
incloses	encloses
inclosing	enclosing
inclosure	enclosure
inclosures	enclosures
incompleat	incomplete
incontestible	incontestable
inconveniencies	inconveniences
incourage	encourage
incouragement	encouragement
incroach	encroach
incroaching	encroaching
incroachment	encroachment
incumber	encumber
incumbered	encumbered
incumbering	encumbering
incumbers	encumbers
incumbrance	encumbrance
incumbrances	encumbrances
independance	independence
independant	independent
indispensible	indispensable
indispensibly	indispensably
indorse	endorse
indorsed	endorsed
indorsee	endorsee
indorsees	endorsees
indorsement	endorsement
indorser	endorser
indorser's	endorser's
indorsers	endorsers
indorses	endorses
indorsing	endorsing
indue	endue
indued	endued
indues	endues
induftrie	industry
induing	enduing
indure	endure
industrie	industry
inexcuseable	inexcusable
infancie	infancy
inferiour	inferior
inflection	inflexion
inflections	inflexions
inflid	inflict
infliet	inflict
inflieted	inflicted
inflinct	instinct
inflituted	instituted
inflitution	institution
inflitutions	institutions
infold	enfold
inforce	enforce
inforced	enforced
inforces	enforces
inforcing	enforcing
informe	inform
ingage	engage
ingaged	engaged
ingaging	engaging
ingulph	engulf
ingulphed	engulfed
iniquitie	iniquity
initialed	initialled
initialing	initialling
injoin	enjoin
injoined	enjoined
injoins	enjoins
injur	injure
inlarge	enlarge
inlarged	enlarged
inlarges	enlarges
inlarging	enlarging
inlift	enlist
inlifted	enlisted
inlifting	enlisting
inlist	enlist
inlisted	enlisted
inlluence	influence
innervate	enervate
innervated	enervated
innervation	enervation
innes	inns
innocence	innocence
innocencie	innocence
innocency	innocence
innocente	innocent
inrich	enrich
inriched	enriched
inriches	enriches
inriching	enriching
inrolled	enrolled
inseperable	inseparable
inshrine	enshrine
inshrined	enshrined
insnare	ensnare
insolencies	insolences
install	instal
installment	instalment
installments	instalments
installs	instals
instill	instil
instills	instils
intangled	entangled
intermixt	intermixed
intice	entice
inticing	enticing
intire	entire
intirely	entirely
intitle	entitle
intitled	entitled
intitles	entitles
intituled	entitled
intollerable	intolerable
intrails	entrails
intreat	entreat
intreated	entreated
intreaties	entreaties
intreating	entreating
intreaty	entreaty
intrench	entrench
intrenched	entrenched
intrenches	entrenches
intrenching	entrenching
intrenchment	entrenchment
intrinfick	intrinsic
intrinsick	intrinsic
intrusted	entrusted
intrusting	entrusting
inuendo	innuendo
invenom	envenom
invenomed	envenomed
irreconcileable	irreconcilable
irresistable	irresistible
irresistably	irresistible
ismael	ishmael
jackall	jackal
jail	gaol
jailbird	gaolbird
jailbirds	gaolbirds
jailbreak	gaolbreak
jailbreaks	gaolbreaks
jailed	gaoled
jailer	gaoler
jailers	gaolers
jailing	gaoling
jails	gaols
japonese	japanese
jayl	gaol
jealoufie	jealousy
jealousie	jealousy
jeweled	jewelled
jeweler	jeweller
jewelers	jewellers
jewell	jewel
jewelry	jewellery
jigg	jig
joannes	johannes
joannis	johannis
jobb	job
johanne	johan
journies	journeys
joye	joy
joyn	join
joyned	joined
joyning	joining
joyns	joins
judg	judge
judgment	judgement
junck	junk
juste	just
justifie	justify
kalendar	calendar
keene	keen
keepe	keep
kepe	keep
ketch	catch
kidnies	kidneys
kilogram	kilogramme
kilograms	kilogrammes
kilometer	kilometre
kilometers	kilometres
kinge	king
kist	kissed
kitchin	kitchen
kno	know
knowe	know
knowlege	knowledge
kyng	king
kynge	king
labeled	labelled
labeling	labelling
labor	labour
labore	labour
labored	laboured
laborer	labourer
laborers	labourers
laboring	labouring
labors	labours
lacedæmon	lacedaemon
lacedæmonian	lacedaemonian
lacedæmonians	lacedaemonians
lackluster	lacklustre
lacquey	lackey
lacqueys	lackeys
lacquies	lackeys
ladie	lady
lampe	lamp
landaff	llandaff
lande	land
landes	lands
landskip	landscape
landskips	landscapes
langour	languor
lanthorn	lantern
larum	alarm
latelie	lately
latere	later
latine	latin
laught	laughed
launce	lance
launcelot	lancelot
launces	lances
laureat	laureate
laureat's	laureate's
lawe	law
lawes	laws
lawfull	lawful
lawfullie	lawfully
lawrel	laurel
lawrels	laurels
layed	laid
leake	leak
leant	leaned
leaped	leapt
learnt	learned
leasure	leisure
legat	legate
legge	leg
leipsic	leipzig
lenth	length
lesse	less
lethargick	lethargic
lett	let
lette	let
lettres	letters
leud	lewd
leukemia	leukaemia
leve	leave
leveled	levelled
leveler	leveller
levelers	levellers
leveling	levelling
lewes	lews
ley	lay
libeled	libelled
libeling	libelling
libelous	libellous
librarie	library
licenced	licensed
